Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,NBA,1949-50,2019-20,71,5559,2749,2810,.495,46,11,0,1
Atlanta Hawks,NBA,1968-69,2019-20,52,4141,2051,2090,.495,33,5,0,0
St. Louis Hawks,NBA,1955-56,1967-68,13,1005,553,452,.550,12,6,0,1
Milwaukee Hawks,NBA,1951-52,1954-55,4,281,91,190,.324,0,0,0,0
Tri-Cities Blackhawks,NBA,1949-50,1950-51,2,132,54,78,.409,1,0,0,0
Boston Celtics,NBA/BAA,1946-47,2019-20,74,5731,3384,2347,.590,56,31,9,17
Brooklyn Nets,NBA/ABA,1967-68,2019-20,53,4229,1827,2402,.432,27,5,2,2
Brooklyn Nets,NBA,2012-13,2019-20,8,581,245,336,.422,4,0,0,0
New Jersey Nets,NBA,1977-78,2011-12,35,2822,1186,1636,.420,16,4,2,0
New York Nets,NBA,1976-77,1976-77,1,82,22,60,.268,0,0,0,0
New York Nets,ABA,1968-69,1975-76,8,666,338,328,.508,7,1,0,2
New Jersey Americans,ABA,1967-68,1967-68,1,78,36,42,.462,0,0,0,0
Charlotte Hornets,NBA,1988-89,2019-20,30,2338,1031,1307,.441,10,0,0,0
Charlotte Hornets,NBA,2014-15,2019-20,6,418,196,222,.469,1,0,0,0
Charlotte Bobcats,NBA,2004-05,2013-14,10,804,293,511,.364,2,0,0,0
Charlotte Hornets,NBA,1988-89,2001-02,14,1116,542,574,.486,7,0,0,0
Chicago Bulls,NBA,1966-67,2019-20,54,4306,2208,2098,.513,35,9,6,6
Cleveland Cavaliers,NBA,1970-71,2019-20,50,3977,1850,2127,.465,22,7,5,1
Dallas Mavericks,NBA,1980-81,2019-20,40,3157,1577,1580,.500,21,3,2,1
Denver Nuggets,NBA/ABA,1967-68,2019-20,53,4229,2121,2108,.502,34,11,0,0
Denver Nuggets,NBA,1976-77,2019-20,44,3485,1708,1777,.490,25,8,0,0
Denver Nuggets,ABA,1974-75,1975-76,2,168,125,43,.744,2,2,0,0
Denver Rockets,ABA,1967-68,1973-74,7,576,288,288,.500,7,1,0,0
Detroit Pistons,NBA/BAA,1948-49,2019-20,72,5623,2737,2886,.487,42,11,5,3
Detroit Pistons,NBA,1957-58,2019-20,63,5004,2424,2580,.484,34,9,5,3
Fort Wayne Pistons,NBA/BAA,1948-49,1956-57,9,619,313,306,.506,8,2,0,0
Golden State Warriors,NBA/BAA,1946-47,2019-20,74,5728,2774,2954,.484,35,12,6,6
Golden State Warriors,NBA,1971-72,2019-20,49,3896,1886,2010,.484,18,7,6,4
San Francisco Warriors,NBA,1962-63,1970-71,9,729,330,399,.453,5,2,0,0
Philadelphia Warriors,NBA/BAA,1946-47,1961-62,16,1103,558,545,.506,12,3,0,2
Houston Rockets,NBA,1967-68,2019-20,53,4224,2230,1994,.528,33,7,4,2
Houston Rockets,NBA,1971-72,2019-20,49,3896,2111,1785,.542,32,7,4,2
San Diego Rockets,NBA,1967-68,1970-71,4,328,119,209,.363,1,0,0,0
Indiana Pacers,NBA/ABA,1967-68,2019-20,53,4229,2175,2054,.514,35,9,1,3
Indiana Pacers,NBA,1976-77,2019-20,44,3485,1748,1737,.502,26,6,1,0
Indiana Pacers,ABA,1967-68,1975-76,9,744,427,317,.574,9,3,0,3
Los Angeles Clippers,NBA,1970-71,2019-20,50,3979,1616,2363,.406,14,2,0,0
Los Angeles Clippers,NBA,1984-85,2019-20,36,2831,1171,1660,.414,11,2,0,0
San Diego Clippers,NBA,1978-79,1983-84,6,492,186,306,.378,0,0,0,0
Buffalo Braves,NBA,1970-71,1977-78,8,656,259,397,.395,3,0,0,0
Los Angeles Lakers,NBA/BAA,1948-49,2019-20,72,5622,3339,2283,.594,60,32,18,16
